"REMOVE","weather Australia","2"
"REMOVE","Are there any lectures on Saturday","11"
"REMOVE","Where is DeepSpace located","4"
"REMOVE","Which lectures are there on Monday at 9","13"
"REMOVE","wiki where is the Taj Mahal located","12"
"REMOVE","(2+3)/5+3/2","4"
"REMOVE","which lectures are there on monday at 9","7"
"REMOVE","which lectures are there on tuesday at 12","16"
"REMOVE","which lectures are there at 12 on wednesday","15"
"REMOVE","which lectures are there at 12 on thursday","11"
"REMOVE","which lectures are there at 10 on friday","7"
"REMOVE","how do I get to deepspace","7"
"REMOVE","how do I get to the lecture hall","14"
"REMOVE","how do she get to c.0016","5"
"REMOVE","where is spacebox","1"
"REMOVE","where is the project room","8"
"REMOVE","where is c.0020 located","1"
"REMOVE","weather Istanbul","3"
"REMOVE","weather San Francisco","8"
"REMOVE","wiki Maastricht","3"
"REMOVE","wiki Alan Turing","5"
"REMOVE","wiki natural language processing","10"
"REMOVE","what is 9*12","2"
"REMOVE","what is 1/0","5"
"REMOVE","is 5+2 equal to 7","2"
"REMOVE","is 4*23 equal to 82","2"
"REMOVE","what is ((3+2)*4)/6","5"
"REMOVE","what is 4^2","1"
"REMOVE","what is the weather in London","2"
"REMOVE","wiki who is Queen Elizabeth II","2"
"REMOVE","how's the weather in Brussels","3"
"REMOVE","at 16 on Sunday which lectures are there","17"
"REMOVE","on monday at 9 which lectures are there","12"
"REMOVE","where is the library located","11"
"REMOVE","wiki what is the netherlands","4"
"REMOVE","what's the weather like in Amsterdam","7"
"REMOVE","can you find on wiki who is King Willem-Alexander","11"
"REMOVE","is (5-3)*2 equal to 2","2"
"REMOVE","what is ((3-9)^3)*2","2"
"REMOVE","how do you get to deepspace","6"
"REMOVE","what is the weather like in Singapore","8"
"REMOVE","which lectures are there on friday at 10","18"
"REMOVE","which lectures are there on thirsday at 11","18"
"REMOVE","which lectures are there at 13 on wednesday","10"
"REMOVE","which lectures are there at 12 on tuesday","8"
"REMOVE","which lectures are there at 10 on Monday","8"
"REMOVE","how do I get to spacedeep","8"
"REMOVE","how do I get to the hall","8"
"REMOVE","how do she get to c.1015","7"
"REMOVE","where is box","2"
"REMOVE","where is the project room","2"
"REMOVE","where is b.1013 located","2"
"REMOVE","weather Tokyo","1"
"REMOVE","weather Mexico","2"
"REMOVE","wiki Turing Test","8"
"REMOVE","wiki Alex Friedman","11"
"REMOVE","wiki theoritical computer science ","1"
"REMOVE","what is 9*12","8"
"REMOVE","what is 1/0","4"
"REMOVE","is 15+2 equal to 17","2"
"REMOVE","is 4*100 equal to 400","1"
"REMOVE","what is ((3+2)*4)/6","5"
"REMOVE","what is 4^2","3"
"REMOVE","what is the weather in London","2"
"REMOVE","wiki who is Queen Elizabeth II","12"
"REMOVE","how's the weather in Brussels","7"
"REMOVE","at 16 on Sunday which lectures are there","21"
"REMOVE","on monday at 9 which lectures are there","23"
"REMOVE","where is the library located","1"
"REMOVE","wiki what is the netherlands","7"
"REMOVE","what's the weather like in Amsterdam","9"
"REMOVE","wiki who is King Willem-Alexander","6"
"REMOVE","is (9-8)*3 equal to 1","1"
"REMOVE","what is ((3-12)^3)*2","15"
"REMOVE","how do you get to deepspace","5"
"REMOVE","what is the weather like in Philippines","18"
"REMOVE","which lectures are there on friday at 15","7"
"REMOVE","which lectures are there on thirsday at 13","24"
"REMOVE","which lectures are there at 9 on wednesday","11"
"REMOVE","which lectures are there at 10 on tuesday","12"
"REMOVE","which lectures are there at 15 on Monday","12"
"REMOVE","how do I get to deepspa","4"
"REMOVE","how do I get to the hall lecture","5"
"REMOVE","how do she get to c.2011","7"
"REMOVE","where is box","1"
"REMOVE","where is the room project","9"
"REMOVE","where is b.3001 located","5"
"REMOVE","weather Beijing","2"
"REMOVE","weather Mexico City","3"
"REMOVE","wiki what is software testing","6"
"REMOVE","wiki computer graphics algorithms","6"
"REMOVE","wiki Linear programming ","7"
"REMOVE","what is 3*32","5"
"REMOVE","what is 8/0","2"
"REMOVE","is 15+2 equal to 17","3"
"REMOVE","is 83*40 equal to 3320","3"
"REMOVE","what is ((3+2)*4)/6","9"
"REMOVE","what is 13^2","1"
"REMOVE","what is the weather in Edingburgh","2"
"REMOVE","wiki who is the current president of Canada","11"
"REMOVE","how's the weather in Antwerp","2"
"REMOVE","at 13 on Sunday which lectures are there","16"
"REMOVE","on thursday at 9 which lectures are there","25"
"REMOVE","where is the Randwyck library located","12"
"REMOVE","wiki what is the netherlands","5"
"REMOVE","what's the weather like in Njimegen","8"
"REMOVE","wiki what are the current emerging trends in cybersecurity","24"
"REMOVE","is (27)**3 equal to 19683","3"
"REMOVE","what is ((3-12)^3)*2","4"
"REMOVE","how do you get to deepspace","10"
"REMOVE","what is the weather like in Laos","2"
"REMOVE","is 5+2 equal to 7","3"
"REMOVE","is 4*23 equal to 82","4"
"REMOVE","what is ((3+2)*4)/6","4"
"REMOVE","is 63*54 equal to 3402","4"
"REMOVE","is 4*20 equal to 80","2"
"REMOVE","what is ((5+19)*4)/6","15"
"REMOVE","how do you get to place","6"
"REMOVE","what is the weather like in Namibia","2"
"REMOVE","is 572+3654 equal to 4226","10"
"REMOVE","is 7**3 equal to 343","6"
"REMOVE","what is ((29-12)^3)*2","10"
"REMOVE","is 47*29 equal to 1363","5"
"REMOVE","What are the available lectures on Tuesday at 14","9"
"REMOVE","Can you provide information on the location of the physics lab","22"
"REMOVE","Please tell me where I can find room B.1020","8"
"REMOVE","What is the weather forecast for Sydney","3"
"REMOVE","Do you have any details on the lecture schedule for Wednesday at 11","22"
"REMOVE","wiki Tell me about the history of the Eiffel Tower","22"
"REMOVE","What is the value of (4*5)/(2+1)","15"
"REMOVE","Which lectures are scheduled for Monday at 13","10"
"REMOVE","Could you provide information on the location of the computer science department","14"
"REMOVE","Where can I find the seminar room","8"
"REMOVE","What is the weather like in New York City","3"
"REMOVE","wiki Provide me with information on the topic ""Machine Learning""","19"
"REMOVE","Is (10-3)*5 equal to 35","5"
"REMOVE","What is the result of ((6-2)^2)3","5"
"REMOVE","How can I reach the auditorium","16"
"REMOVE","Tell me the current weather conditions in Tokyo","10"
"REMOVE","Which lectures are scheduled for Friday at 11","12"
"REMOVE","What are the lecture timings for Thursday at 12","19"
"REMOVE","Please provide details on the lectures at 10 on Wednesday","8"
"REMOVE","Where can I find the cafeteria","5"
"REMOVE","Where is the meeting room located","6"
"REMOVE","Where is room C.2005 situated","9"
"REMOVE","What is the weather like in Paris","6"
"REMOVE","wiki What is the population of Germany","13"
"REMOVE","What are the current weather conditions in Rome","7"
"REMOVE","Which lectures are scheduled at 15 on Sunday","10"
"REMOVE","On Monday at 9","7"
"REMOVE","Where is the university library situated","1"
"REMOVE","wiki Tell me about the geography of Canada","11"
"REMOVE","What is the weather forecast for Barcelona","6"
"REMOVE","wiki Provide information on King Henry VIII","2"
"REMOVE","Is (5+3)/2 equal to 4","6"
"REMOVE","What is the result of ((8-4)^3)2","9"
"REMOVE","How do I get to the gymnasium","8"
